kp_hash,videoId,title,lengthSeconds,channelId,author,keywords,publish_date,thumbnail,official
9a19027c9bdc099d7ddf54529bdd1c27,https://youtu.be/ye1DHPAXDSA,【神稻櫻火精華】迷因講一講，本人突然就出現了！？,56,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2022-06-20,https://i.ytimg.com/vi/ye1DHPAXDSA/mqdefault.jpg,FALSE
e2b04f94dfdcbeda345f6ddb8360b843,https://youtu.be/SsJ1t8QQ0_A,【神稻櫻火精華】可愛的小櫻火鬧鐘！？有人要被FBI抓走了！？,76,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2022-06-18,https://i.ytimg.com/vi/SsJ1t8QQ0_A/mqdefault.jpg,FALSE
75cfd2279ce3e68f93d860c0d4fcaece,https://youtu.be/zPdm78nItvE,【神稻櫻火精華】生日這天快樂玩迷因~,97,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2022-06-17,https://i.ytimg.com/vi/zPdm78nItvE/mqdefault.jpg,FALSE
20a2ddd4baa8b3c2552c13c3cbe471d5,https://youtu.be/Xw8OFeAW0a4,【神稻櫻火精華短片】阿偉你的狐找你,27,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2022-06-17,https://i.ytimg.com/vi/Xw8OFeAW0a4/mqdefault.jpg,FALSE
b65500097ef21e30d2fd0eacf8853999,https://youtu.be/m8q61QWZSNQ,【神稻櫻火精華】亂消費狐媽，直接給你巴頭！？,63,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2022-06-16,https://i.ytimg.com/vi/m8q61QWZSNQ/mqdefault.jpg,FALSE
d9c8aee8a6a5a25f3683fdf8952fb40c,https://youtu.be/SSEOpWuTXb4,【神稻櫻火精華】覺得自己初配信時超尷尬！？歡迎加入“神稻卍會”！？,217,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2022-06-11,https://i.ytimg.com/vi/SSEOpWuTXb4/mqdefault.jpg,FALSE
2e43605edda871706dce3b90ff1b14a0,https://youtu.be/2KHWpbMwEzc,【神稻櫻火精華】不小心用狗狗清潔劑洗頭髮！？,122,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2022-06-01,https://i.ytimg.com/vi/2KHWpbMwEzc/mqdefault.jpg,FALSE
51244c9c8c8530dda8302573723caff5,https://youtu.be/frrNVVfK808,【神稻櫻火精華】邊唱邊逛網拍！？注意力逐漸被商品吸引走！？,128,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2022-05-11,https://i.ytimg.com/vi/frrNVVfK808/mqdefault.jpg,FALSE
d031af3fc1d3b6a2d40c4ea2cd67c6e1,https://youtu.be/G3yUJ2dxJJM,【神稻櫻火精華】還沒清醒過來！？不斷把SC講成加會員！？,83,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2022-05-09,https://i.ytimg.com/vi/G3yUJ2dxJJM/mqdefault.jpg,FALSE
47091bf5fbb32c96e4a1924b1cbdc00c,https://youtu.be/6Bok6hLgFVg,【神稻櫻火精華】超坑錢的奇異杯杯！？無時無刻提醒看電影的家人！？,92,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2022-05-06,https://i.ytimg.com/vi/6Bok6hLgFVg/mqdefault.jpg,FALSE
a5d885552d572083310c26f786908b8b,https://youtu.be/b8TBFmJfiKM,【神稻櫻火精華】火火被嚇到講發Q！?,79,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2022-04-18,https://i.ytimg.com/vi/b8TBFmJfiKM/mqdefault.jpg,FALSE
e917422095910a1143a49781c3b7958e,https://youtu.be/WVSl8Sd56Qk,【神稻櫻火精華】神稻櫻火黑化！？要把呱呱們通通抓起來！？,53,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2022-04-14,https://i.ytimg.com/vi/WVSl8Sd56Qk/mqdefault.jpg,FALSE
6c35237e128e78d4b97f30c1ef2f6d0c,https://youtu.be/EtIUJp5r0UM,【神稻櫻火精華】開播前就先抽到活動角色，邊曬卡邊哈哈大笑,34,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2022-04-13,https://i.ytimg.com/vi/EtIUJp5r0UM/mqdefault.jpg,FALSE
a383384c7cb0aa36542bf17bc4150356,https://youtu.be/fh0KNgA5uKE,【神稻櫻火精華】想要翻車卻翻不了車,89,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2022-04-09,https://i.ytimg.com/vi/fh0KNgA5uKE/mqdefault.jpg,FALSE
a62dae420b005bdcffd0d8204e4e84cd,https://youtu.be/g0KMiVN5unc,【神稻櫻火精華】小時候跟家人講放冰箱的巧克力，被吃掉了！？,62,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2022-03-30,https://i.ytimg.com/vi/g0KMiVN5unc/mqdefault.jpg,FALSE
01e5c39a21ebc33eab6e475e6ab55fa8,https://youtu.be/h4MMW3d9o_0,【神稻櫻火精華】緊急狀況！！只是為了OO而使用語音！？,141,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2022-03-26,https://i.ytimg.com/vi/h4MMW3d9o_0/mqdefault.jpg,FALSE
c4634902b0dea777feef8c90c5cf346f,https://youtu.be/AEI8rnImrp8,【神稻櫻火精華】另類的ASMR！？愛邊吃東西邊讚嘆的狐,89,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2022-03-17,https://i.ytimg.com/vi/AEI8rnImrp8/mqdefault.jpg,FALSE
85f881549ac3a9929e9af261c79bdff3,https://youtu.be/sJSNkKpXIZ8,【神稻櫻火精華】狐媽說火火喝水很大聲，然後火火就喝得更大聲了,68,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2022-03-12,https://i.ytimg.com/vi/sJSNkKpXIZ8/mqdefault.jpg,FALSE
1847728d93922212d5055c405c766fc4,https://youtu.be/99oyOnzPTc4,【神稻櫻火精華】不小心把歌名記成米開朗基羅！？,79,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2022-03-09,https://i.ytimg.com/vi/99oyOnzPTc4/mqdefault.jpg,FALSE
793420c30d096990814405c9eb3c301c,https://youtu.be/5Wi_LlAXHeM,【神稻櫻火精華】緊張是一種遺傳！？有其父必有其女！？,93,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2022-02-28,https://i.ytimg.com/vi/5Wi_LlAXHeM/mqdefault.jpg,FALSE
b08ee4a99a17b36e0c7314f9394e9b0f,https://youtu.be/_ozqzydLwIk,【神稻櫻火精華】台語版新婚三問！？洗勒考喔！？,52,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2022-02-17,https://i.ytimg.com/vi/_ozqzydLwIk/mqdefault.jpg,FALSE
f608cd61319a408ca34288e46d6f3bdd,https://youtu.be/irWJxiQpYV0,【神稻櫻火精華】火火的新年新婚三問,78,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2022-02-02,https://i.ytimg.com/vi/irWJxiQpYV0/mqdefault.jpg,FALSE
6bb410cc86538e00823fccec036d0994,https://youtu.be/B_SR2gDO2Ac,【神稻櫻火精華】想被火火用鄙視的臉看著！？,94,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2022-01-23,https://i.ytimg.com/vi/B_SR2gDO2Ac/mqdefault.jpg,FALSE
3531aaf6ebbe8b4200512fd00fd53bc2,https://youtu.be/U1VrOzDSs54,【神稻櫻火精華】火火去倒水時，影片竟然自動播放了！？收工啦！,58,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2022-01-22,https://i.ytimg.com/vi/U1VrOzDSs54/mqdefault.jpg,FALSE
950c9a419199d7f3a9663b4aa3ca643e,https://youtu.be/BxYPq0CYe5A,【神稻櫻火精華】火火想要瑪麗！？大小姐的答覆是⋯⋯,83,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2022-01-14,https://i.ytimg.com/vi/BxYPq0CYe5A/mqdefault.jpg,FALSE
d00d5a81b32c6f116666c3c661fdcaf6,https://youtu.be/3v-RKckLccU,【神稻櫻火精華】火火邊唱歌邊發抖被家人發現了！？,48,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2022-01-12,https://i.ytimg.com/vi/3v-RKckLccU/mqdefault.jpg,FALSE
1aeba71bb827b333ce6d18da60a587dc,https://youtu.be/b9DiljCpRdo,【神稻櫻火精華】小強浮雲與玩得超開心的火火！?,74,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2022-01-02,https://i.ytimg.com/vi/b9DiljCpRdo/mqdefault.jpg,FALSE
3f687bdf67fbdb7618dab1d1673ee862,https://youtu.be/SIVTPpTxXCs,【神稻櫻火精華】偽·藝人之亂！？一群名人在看火火台！？,77,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2021-12-27,https://i.ytimg.com/vi/SIVTPpTxXCs/mqdefault.jpg,FALSE
6c445fb028ca8f46d4875f583785738d,https://youtu.be/ijwqP_FBIlA,【神稻櫻火精華】這位兄弟別睡了、醒醒！來自觀眾的告白SC！？,69,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2021-12-20,https://i.ytimg.com/vi/ijwqP_FBIlA/mqdefault.jpg,FALSE
a1869535f97ab1ff002ea15189b296b6,https://youtu.be/wkhVt8z7cD0,【神稻櫻火精華】歸剛ㄟ！妹妹啊！咱們之前應該不認識吧！？,48,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2021-11-21,https://i.ytimg.com/vi/wkhVt8z7cD0/mqdefault.jpg,FALSE
f0b051eb8623b99652acb9202e423cd7,https://youtu.be/P1IEsslTFv4,【神稻櫻火精華】狐言亂語翻譯師 2！？,86,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2021-11-18,https://i.ytimg.com/vi/P1IEsslTFv4/mqdefault.jpg,FALSE
d21dd8823abaea7ea93a692cdc701c75,https://youtu.be/JQA4V3Oaqhw,【神稻櫻火精華】兔姬老師現身聊天室！？熱水狐再度燒開！？,107,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2021-11-15,https://i.ytimg.com/vi/JQA4V3Oaqhw/mqdefault.jpg,FALSE
0f9a3811224a9b9611288f172e08fe43,https://youtu.be/O2SOkNkt-VI,【神稻櫻火精華】大大大禮包！聽說會附贈絲襪和口嚼酒！？,68,UCwoldX8EmSdT0n3yTsPeq9A,【博祈達 bokida】賢者的烤肉時間,,2021-11-15,https://i.ytimg.com/vi/O2SOkNkt-VI/mqdefault.jpg,FALSE
